url,site,title,price,currency,brand,model,reference,condition,description,images,availability,specifications,year,dial_color,bracelet_material,case_material,movement
https://www.bqwatches.com/product/24140,bqwatches,ROLEX DATEJUST 41 - 126334,11950.0,GBP,Rolex,Datejust,126334,,,[],Contact for Availability,{},,,,,Automatic
https://www.bqwatches.com/product/23711,bqwatches,ROLEX DATEJUST - 16233,,GBP,Rolex,Datejust,16233,,,[],Contact for Availability,{},,,,,Automatic
https://www.bqwatches.com/product/14545,bqwatches,ROLEX SUBMARINER - 16618LB,18500.0,GBP,Rolex,Submariner,16618LB,,,[],Contact for Availability,{},,,,,Automatic
https://www.bqwatches.com/product/24195,bqwatches,ROLEX GMT-MASTER II - 126710BLNR,14250.0,GBP,Rolex,Gmt-Master,126710BLNR,,,[],Contact for Availability,{},,,,,Automatic
https://www.bqwatches.com/product/23591,bqwatches,ROLEX DATEJUST - 69138,10500.0,GBP,Rolex,Datejust,,,,[],Contact for Availability,{},,,,,Automatic
https://www.bqwatches.com/product/23587,bqwatches,ROLEX SEA-DWELLER - 126600,11000.0,GBP,Rolex,Sea-Dweller,126600,,,[],Contact for Availability,{},,,,,Automatic
https://www.bqwatches.com/product/23161,bqwatches,ROLEX SUBMARINER - 16618LB,24500.0,GBP,Rolex,Submariner,16618LB,,,[],Contact for Availability,{},,,,,Automatic
https://www.bqwatches.com/product/24105,bqwatches,ROLEX GMT MASTER II - 126720VTNR,14500.0,GBP,Rolex,,126720VTNR,,,[],Contact for Availability,{},,,,,Automatic
https://www.bqwatches.com/product/23166,bqwatches,ROLEX GMT MASTER II - 116710LN,10000.0,GBP,Rolex,,116710LN,,,[],Contact for Availability,{},,,,,Automatic
https://www.bqwatches.com/product/20096,bqwatches,ROLEX SEA-DWELLER DEEPSEA - 116660,9750.0,GBP,Rolex,Sea-Dweller,116660,,,[],Contact for Availability,{},,,,,Automatic
https://www.bqwatches.com/product/24055,bqwatches,ROLEX GMT-MASTER II - 126720VTNR,14750.0,GBP,Rolex,Gmt-Master,126720VTNR,,,[],Contact for Availability,{},,,,,Automatic
https://www.bqwatches.com/product/23600,bqwatches,ROLEX DATEJUST - 279174,8750.0,GBP,Rolex,Datejust,279174,,,[],Contact for Availability,{},,,,,Automatic
https://www.bqwatches.com/product/23928,bqwatches,ROLEX SUBMARINER - 116610LN,9250.0,GBP,Rolex,Submariner,116610LN,,,[],Contact for Availability,{},,,,,Automatic
